0,1e-06,0,0,1e-06,0,0,1e-06,0,0,1e-06,1e-06,0,0,0,0,1e-06
1000,0.039798,0.005931,0.002995,0.002352,0.001159,0.000173,0.002786,0.000694,0.003039,0.002197,0.00304,0.002051,0.000806,0.000107,0.00254,0.000633
2000,0.156752,0.026679,0.013028,0.008859,0.002991,0.000644,0.006103,0.001515,0.012556,0.009383,0.015181,0.009405,0.002003,0.000271,0.005837,0.001524
3000,0.356101,0.054214,0.028774,0.020416,0.004788,0.000628,0.010655,0.002543,0.030043,0.021569,0.0297,0.022015,0.003272,0.000381,0.008973,0.002096
4000,0.615717,0.092003,0.054812,0.034883,0.005309,0.000761,0.012397,0.003082,0.051457,0.040513,0.059194,0.036659,0.004342,0.000519,0.011613,0.002732
5000,0.987193,0.144624,0.081743,0.055928,0.007616,0.000982,0.016244,0.004614,0.093926,0.058808,0.079993,0.056909,0.005821,0.000714,0.016171,0.003817
6000,1.38107,0.239596,0.115265,0.081271,0.009241,0.001239,0.020697,0.005708,0.11911,0.086208,0.115098,0.07934,0.006837,0.001113,0.019678,0.004382
7000,1.87401,0.300503,0.154649,0.110901,0.01075,0.001415,0.023751,0.006371,0.16265,0.114111,0.14633,0.106511,0.007908,0.000923,0.021255,0.004844
8000,2.34878,0.37601,0.196606,0.137598,0.011952,0.001883,0.025358,0.006444,0.201865,0.140183,0.187451,0.1384,0.0093,0.001059,0.024208,0.005769
9000,3.0515,0.483837,0.250742,0.183109,0.014796,0.001897,0.03092,0.00799,0.277587,0.18432,0.253682,0.186487,0.011538,0.001338,0.030913,0.006891
10000,3.7893,0.587882,0.321565,0.217955,0.01706,0.00235,0.034513,0.008471,0.330587,0.236248,0.305639,0.21294,0.012323,0.001408,0.031477,0.007925
11000,4.57214,0.718585,0.356683,0.252294,0.016816,0.002243,0.03586,0.009177,0.38629,0.261687,0.362093,0.250215,0.013139,0.001522,0.033843,0.007926
12000,5.38713,0.859473,0.439775,0.317164,0.019854,0.002564,0.043674,0.011134,0.51878,0.360316,0.436441,0.325214,0.015081,0.001749,0.045412,0.010446
13000,6.129,0.958998,0.504624,0.349948,0.020333,0.002653,0.044172,0.010651,0.535724,0.369105,0.495763,0.35487,0.015579,0.002087,0.040599,0.009417
14000,7.03085,1.12141,0.566175,0.406235,0.02192,0.002912,0.046782,0.011648,0.613919,0.425723,0.565451,0.405016,0.017007,0.001991,0.044866,0.010158
15000,8.09025,1.26935,0.652276,0.471785,0.023483,0.003154,0.050651,0.012652,0.725116,0.488385,0.681031,0.465658,0.018929,0.002135,0.047221,0.012181
16000,9.19805,1.46092,0.736554,0.536757,0.027736,0.004006,0.059187,0.013488,0.802977,0.569975,0.735221,0.535552,0.022816,0.002341,0.056528,0.012188
17000,10.3417,1.63977,0.837575,0.613886,0.027037,0.003553,0.057427,0.014304,0.890796,0.636969,0.837858,0.611034,0.022042,0.002518,0.054209,0.012505
